Title,First Paragraph
Cary Grant,<START> Ni Cary Grant ket maysa idi nga Ingles nga aktor a nagbalin nga umili iti Estados Unidos idi 1942. <END>
Gary Oldman,"<START> Ni Gary Leonard Oldman ket ti maysa nga Ingles nga aktor ken agparpartuat iti pelikula a nagtrabaho pay iti teatro, pelikula ken telebision. Ammo para iti bersatilidadna ken manangiyebkas a 'dakkel' nga estilo iti panagarte, naikeddeng ni Oldman a kas maysa kadagiti kalatakan nga aktor iti iskrin iti henerasionna. Kadagiti sabali a pammadayawna, isu ket nangabak iti Gungguna ti Akademia, tallo a Gunguna ti BAFTA, dua Gunguna ti Critics' Choice ]a Emmy ken ti Palme d'Or para iti obrana iti sango ken likudan ti kamera. <END>"
Alehandro ti Natan-ók,"<START> Ni Alehandro III iti Masedonia, kadawyan nga ammo a kas ni Alehandro ti Natan-ók, ket maysa idi a Griego nga ari iti Masedonia, ti maysa nga estado idiay akin-amianan a taga-ugma a Gresia. Naipasngay idiay Pella idi 356 BC, Ni Alehandro ket insursuro babaen ni Aristotle aginggana iti edad nga 16. Idi agtawen isuna ti sangapulo ket tallo, nakaaramid isuna ti maysa kadagiti kadakkelan nga imperio iti taga-ugma a lubong, a naigay-at manipud iti Baybay Ionia aginggana idiay Himalaya. Isuna ket saan a naabak kadagiti gubgubat ken isuna ket naipanunotan a maysa kadagiti naimballigian nga agbilbilin iti pakasaritaan. <END>"
Konstantino ti Natan-ok,"<START> Ni Konstantino ti Natan-ok, a naamammoan pay a kas ni Konstantino I wenno San Konstantino, ket maysa idi a nga Romano nga Emperador manipud idi 306 aginggana idi 337. Isu ket nadayeg a naamammon a kas ti immuna a Romano nga emperador a nagbalin a Kristiano, Konstantino ken kumaduaan nga Emperador a ni Licinius ket nangipakdaar ti Bilin ti Milan idi 313, a nagirangarang ti panangbaybay-a kadagiti amina relihion iti amin nga kadagupan ti imperio. <END>"
Ciro ti Natan-ok,"<START> Ni Ciro II ti Persia, sapasap a naamammoan a kas ni Ciro ti Natan-ok, naamammoan pay a kas ni Ciro ti Laklakay, ket isu idi ti nangbangon ti Akamenida nga Imperio.Babaen ti panagturayna, ti imperio ket nangar-arakup kadagiti amin a napalabas a sibilisado nga estado ti taga-ugma nga Asideg a Daya, ken nawatiwat a nagpadakkel ken dimteng a kaaduan a nagparukma ti Abagatan a laud nga Asia ken ti kaaduan ti Tengnga nga Asia ken ti Kaukaso. Manipud ti Baybay Mediteraneo ken Helesponto iti laud aginggana idiay Karayan Indus iti daya, ni Ciro ti Natan-ok ket nagpartuat ti kadakkelan nga imperio a nakitkita ti lubong. Dagiti napno a panagturayna idi a titulo ket Ti Nalatak nga Ari, Ari ti Persia, Ari ti Anshan, Ari ti Media, Ari ti Babilonia, Ari ti Sumer ken Akkad, Ari dagiti uppat a suli ti lubong. Isu pay ti nangipalpalawag a naipanpanunotan ti kaaduan a ti maysa kadagiti naipakasaritaan a kangrunaan a pannakairangarang ti karbengan ti nagtagitaoan babaen ti Ciro a Silindro idi baetan ti 539 ken 530 SK. <END>"
Otto von Bismarck,"<START> Ni Otto Eduard Leopold, Prinsipe iti Bismarck, Duke iti Lauenburg, ammo a kas ni Otto von Bismarck, ket maysa idi a konserbatibo nga Aleman nga estadista a nagituray kadagiti Europeano a pannakibiang manipud idi 1860 aginggana ti pannakaikkatna idi 1890. Kalpasan kadagiti ababa a panagballigi ti gubgubat isu ket nagipagkaykaysa kadagiti nadumaduma nga estado iti maysa a nabileg nga Imperio nga Aleman babaen ti Prusiano a panangidaulo, ken nagpartuat ti maysa a 'gantingan iti bileg' a nagpreserba ti kappia idiay Europa manipud idi 1871 aginggana idi 1914. <END>"
Timur,"<START> Ni Timur, Tarmashirin Khan, Emir Timur, naipakasaritaan a naamammoan a kas ni Tamerlane, ket maysa idi a Turko ruler nga isu ti nagparukma ti Laud, Abagatan ken Tengnga nga Asia ken nangbangon ti [[Timurid a dinastia]. Isu ket apong ni Ulugh Beg, nga isu ti nangturay ti Tengnga nga Asia manipud idi 1411 aginggana idi 1449, ken ti tallo a kaadayo nga apong ni Babur, ti nangbangon ti Mughal nga Imperio, a nangituray ti Abagatan nga Asia kadagiti napalabas a sigsiglo. <END>"
Omar,"<START> Ni Omar wenno Umar, natituluan iti Farooq ti Natan-ok ket maysa idi kadagiti kabilegan ken impluensial a Muslim a nagturturay iti pakasaritaan. Isu ket maysa idi a sahabi (kumadduaan) ti Islamiko a propeta a ni Mahoma. Isu ti nangsukat kenni Kalipa Abu Bakr (632–634) a kas ti maikadua a Kalipa ti Rashidun a Kalipato idi 23 Agosto 634. Isu ket maysa idi a nalaing a hurista ken isu ket nadayeg nga ammo para iti hustisiana, a nakagunodanna ti titulo nga Al-Farooq . Babaen ni Umar ti Islamiko nga Imperio ket naipadakkel ti saan pay a nakitkita a kinapardas a nagturturay ti amin a Sassanid a Persiano nga Imperio ken ti ad-adu ngem pagkatlo ti Akindaya nga Imperio a Romano. Dagiti panagrautna ti Sassanid a Persiano nga Imperio ket nagbanagan ti pannakaparukma ti Persiano nga imperio iti basbassit ngem dua a tawtawen. Ni Umar idi, segun ti Hudio a tradison, ti nangipaigid ti Kristiano a panagiparit kadagiti Hudio ken nangpalubos kadagiti Hudio idiay Herusalem ken ti panagraem. <END>"
Suleiman I,"<START> Ni Suleiman I ket idu idi ti maikasangapulo ken kapautan a nagturturay nga Emperador, Sultan ti Otomano nga Imperio, manipud idi 1520 aginggana idi pimmusay idi 1566. Isu ket naamammoan ti Laud a kas ni Suleiman ti Nadaeg ken idiay Daya, a kas ni 'Ti Agit-ited ti Linteg', para iti kompleto a panangibangonna manen ti legado a sistema ti Otomano. Ni ket nagbalin a prominente a monarkia ti maika-16 a siglo nga Europa, a nagturturay idi ti kinapigsa ti milisia, politikal ken ekonomiko a bileg ti Otomano nga Imperio. Ni Suleiman ket kinabukodanna nga indauloan dagiti buyot ti Otomano iti panagrukmada kadagiti pammasakedan ti Belgrado, Rodas, ken ti kaaduan ti Hungaria sakbay a napasardeng ti panagiparukmana idiay Sillong ti Vienna idi 1529. Isu ket ti kaaduan a nagikapet ti Tengnga a Daya iti pannakisuppiatna kadagiti Safavid ken dagiti dakkel a paset ti Amianan nga Aprika ken ti kaadadayo ti laud a kas ti Arhelia. Babaen ti turayna, ti Otomano a plota ket nangiturturay kadagiti baybay manipud ti Mediteraneo aginggana idiay Baybay Nalabbasit ken ti Golpo Persiano. <END>"
Pedro ti Natan-ok,"<START> Ni Pedro ti Natan-ok, Pedro I wenno Pyotr Alexeyevich Romanov ket nangituray ti Sarismo ti Rusia ken kalpasan daytoy ti Ruso nga Imperio manipud idi 7 Mayo [D.E. 27 Abril] 1682 aginggana idi pimmusay, a kimmadduan a nagturay sakbay idi 1696 iti gudua a kabsatna lalaki. Kadagiti adu a nagballigi a gubgubat isu ket nangpadakkel ti Sarismo iti maysa a dakkel nga imperio a nagbalin a nangruna a bileg ti Europa. Segun ti historiador a ni James Cracraft, isu ket nangidaulo kadagit kultural a rebolusion a nangsukat ti tradisionalista ken mediebal a sosial ken politikal a sistema iti maysa a moderno, a sientipiko, naibatay ti Europa,ken rationalista a sistem. <END>"
Joseph Stalin,"<START> Ni Joseph Vissarionovich Stalin ket isu idi ti Kangatuan a Ministro ti Kappon ti Sobiet manipud idi 6 Mayo 1941 aginggana idi 5 Marso 1953. Isu ket maysa kadagiti Bolshevik a rebolusionario a nagibangon ti Oktubre a Rebolusion idiay Rusia idi 1917 ken kalpasan daytoy ket nagtenggel ti puesto iti Tengnga a Komite ti Sekretario Heneral iti Partido Komunista iti Kappon ti Sobiet manipud idi 1922 aginggana ti pimmusay idi 1953. Bayat a ti opisina iti Sekretario Heneral ket opisial idi a mabutbutusan ken saan a naipanunutan a ti kanagatuan a puesto ti estado ti Sobiet, ni Stalin ket nakapabael a nagusar iti daytoy ti panagitiponna kadagiti umad-adu a kabilegan a tinengtengngelna kalpasan ti ipupusay ni Vladimir Lenin idi 1924 ken nagininut a nagikkat kadagiti amin a kasupiatna a grupo iti uneg ti Partido Komunista. Daytoy ket mairaman ni Leon Trotsky, ti maysa a sosialista a teorista ken ti kangrunaan a kritiko ni Stalin a dagiti kasapaan a daulo ti Sobiet, nga isu ket naipammagtalaw manipud iti Kappon ti Sobiet idi 1929. A ni Trotsky ket simbolo idi ti permanente a rebolusion, ti konsepto ni Stalin iti sosialismo iti maysa a pagilan ti nagbalina kangrunaan a a pakipatengngaan ti isip kadagiti politiko ti Sobiet. <END>"
Sun Yat-sen,"<START> Ni Sun Yat-sen ket maysa idi nga Insik a rebolusionario ken ti immuna a presidente ken nangbangon nga ama ti Republika ti Tsina. A kas ti nangiyuna a pionero ti Republika ti Tsina, ni Sun ket naibagbaga a kas ti 'Ama ti Pagilian' iti Republika ti Tsina (ROC), ken ti 'nangiyuna ti demokratiko a rebolusion' idiay Republika ti Tattao ti Tsina. Ni Sun ket nangipapel ti kangrunaan apapel ti panakatnag ti Qing a Dinastia idi las-ud ti Doble a Sangapulo a Rebolusion. Uray no isu ket adda idi idiay St. Louis, Missouri, isu ket naidutokan nga agserbi a kas ti presidente ti Probisional a Republika ti Tsina, idi nabangon idi 1912. Isu pay ket kimmadduaan idi a nangbangon ti Kuomintang (KMT), a nagserserbi a kas ti immuna a daulona. Ni Sun ket isu idi ti nagikaykaysa a pigura iti kalpasan ti Imperial a Tsina, ken agtultuloy a naisangsangayan kadagiti maika-20 a Siglo nga Insik a politiko para iti panagraraem ti tattao manipud kadagiti dua a bangir ti Ilet ti Taiwan. <END>"
Saladin,"<START> Ni Ṣalāḥ ad-Dīn Yūsuf ibn Ayyūb, kaaduan nga ammo iti Akinlaud a Lubong a kas ni Saladin, ket maysa idi a Kurdo a Muslim, a nagbalin a ti immuna a Sultan ti Ehipto ken Siria, ken nangbangon ti Dinastia nga Ayubi. Isu ket nangidaulo kadagiti Muslim a suppiatan kadagiti Pranko ken dagiti dadduma pay nga Europeano a Krusada idiay Lebante. Iti panawen ti kabileganna, ti sultanatona ket nairaman ti Ehipto, Siria, Mesopotamia, Hejaz, Yemen, ken dagiti paset ti Amianan nga Aprika. <END>"
Ashoka,"<START> Ni Ashoka , makunkuna pay a Ti Kalatakan nga Ashoka, ket maysa idi a Indiano nga emperador iti Maurya a Dinastia a nagturay ti nagistayan amin iti Indiano a subkontinente manipud idi ca. 269 BC to 232 BC. Maysa kadagiti kalatakan nga emperador iti India, ni Ashoka ket nagturay ti kaaduan kadagiti agdama tatta nga India kalpasan kadagiti adu a panagsusuppiat ti militar. Ti imperiona ket nasakupan tatta nga aldaw ti Pakistan ken Apganistan iti laud, ti tatta nga aldaw a Banglades ken ti Indiano nga estado iti Assam iti daya, ken ti kaadaywan pay nga abagatan ti akin-amianan a Kerala ken Andhra Pradesh. Sinakopna ti pagarian nga agnagan ti Kalinga, a sinakop idi ti maysa kadagiti puonan a nagtaudanna a nangrugi manipud idiay Chandragupta Maurya. Ti turayna ket naikuartel idiay Magadha. Inarakupna ti Budismo kalpasan idi nasaksianna dagiti adu a natnatay iti Gubat a Kalinga, nga isuna met laeng ti nangirugi para iti essemna nga agala kadagitoy a daga. Nagiruknoy isuna iti panagparang-ay iti Budismo ti ballasiw nga Asia ken nagipatakder kadagiti monumento nga agimarmarka kadagiti naimudingan a luglugar a panagbiag ni Gautama Buda. <END>"
Plato,"<START> Ni Plato ket maysa a naindaklan nga impluensial a klasiko a Griego a pilosopo, mannurat ken pundador ti Akademia iti Atenas. Ni Plato ket estudiante ni Socrates ken isu ti maestro ni Aristoteles. <END>"
Akbar,"<START> Ni Abu'l-Fath Jalal ud-din Muhammad Akbar, popular nga ammo a kas ni Akbar, ammo pay a kas ni Akbar thi Natan-ok wenno Akbar I, ket isu idi ti Mogol nga Emperador manipud idi 1556 aginggana idi pimusay. Isu idi ti maikatlo ken maysa kadagiti nalatak a nagturturay iti Mogol a Dinastia idiay India. Ni Akbar sinarunona ti amana, ni Humayun, babaen ti rehente, a Bairam Khan, a nangtulong ti ubing nga emperador a nangpadakkel ken nangikaykaysa dagiti dominio ti Mogol idiay India. Ti napigsa ti personalidad ken naballigi a heneral, ni Akbar ket nagin-inut a nagpadakkel ti Moggol nga Imperio tapno mairaman iti gangani amin nga Indiano a Subkontinente iti amianan ti karayan Godavari. Ti bileg ken impluensiana, nupay kasta, ket naigay-at iti intero a pagilian gapu ti kinaturay ti militar, politikal, kultural, ken ekonomia ti Mogol. Tapno maikaykaysa tinawatiwat ng estado ti Mogol, ni Akbar ket nangbangon ti setralisado a sistema ti administrasion iti amin a paset ti imperio ken nangampon ti annuroten iti panagikappia dagiti naparukama a nagturturay babaen ti pannakiassawa ken diplomasia. Tapno mapreserba ti kappia ken urnos iti agdumaduma iti relihion ken kultura nga imperio, isu ket nangampon kadagiti annuroten a nakaala kaniana iti suporta kadagiti saan a muslim a suheto. Binalbaliwanna dagiti piansa ti tribu ken identidad ti Islamiko nga estado, ni Akbar ket nangregget iti panangikaykaysa kadagiti adayo a daga iti pagturayanna babaen ti tulnog, a naiyebkas babaen ti Persiano a kultura, iti bagina a kas maysa nga emperador nga addaan idi iti gangani a nainlangitan a kasasaad. <END>"
Simón Bolívar,"<START> Ni Simón José Antonio de la Santísima Trinidad Bolívar y Palacios Ponte y Blanco, sapasap a naamammoan a kas ni Simón Bolívar, ket maysa idi a Benesolano a milisia ken politikal a daulo. Ni Bolívar ket adda idi ti nangruna apapel iti nagballigi a panagsalisal para iti panakawaya ti Hispaniko nga Amerika manipud ti Espaniol nga Imperio, ken itan ket naipanpanunotan a maysa kadagiti kaimpluensiaan a pilitiko iti pakasaritaan ti Kaamerikaan. <END>"
Andrew Johnson,"<START> Ni Andrew Johnson ket isu idi ti Maika-17 a Presidente iti Estados Unidos (1865–1869). A kas ti Bise Presidente iti Estados Unidos idi 1865, isu ket simmaruno a presidente kalpasan ti panakapapatay ni Abraham Lincoln. Ni Johnson ket isu idi ti nagtakem ti rugi ken nasuppiatan a Panagpatakder manen a panawen iti Estados Unidos kalpasan ti Sibil a Gubat ti Amerikano. Dagiti panagpatakder manen nga annuroten ni Johnson ket napaay a mangidegdega kadagiti karbengan dagiti Nawayaan a tagabu, ken isu ket nabileg a rinaut ti politiko a nanipud kadagiti Republikano, a nagpatinggaan daytoy ti panakaidarumna babaen ti Kamara dagiti Pannakabagi ti Estados Unidos; ngem isu ket pinakawan laeng babaen ti Senado ti E.U.. <END>"
Joseph Brodsky,"<START> Ni Iosif Aleksandrovich Brodsky, ket maysa idi a Ruso ken Amerikano a mannaniw ken manalaysay. <END>"
Kwame Nkrumah,"<START> Ni  Kwame Nkrumah, P.C., ket isu idi ti daulo ti Ghana ken ti simmarunuanna nga estado, ti Nabalitokan nga Aplaya, manipud idi 1951 aginggana idi 1966. Nga isu ti nagtartaripatu ti panakawaya ti pagilian manipud ti kolonial a panagturay ti British idi 1957, Ni Nkrumah ket isu idi ti immuna a Presidente ti Ghana ken ti immuna a Kangrunaan a Ministro ti Ghana. Isu ket maysa nga inpluensial ti maika-20 a siglo a nagitaktakder ti Pan-Aprikanismo, isu idi ti nangbangon a kameng ti Organisasion ti Aprikano a Panangikaykaysa ken nagunggunaan idi ti Premio Lenin ti Kappia idi 1963. <END>"
Aristoteles,"<START> Ni Aristoteles ket maysa idi a Griego a pilosopo ken erudito, maysa nga estudiante ni Plato ken maestro ni Alehandro ti Natan-ok. Dagiti sinursuratna ket nakasakup kadagiti adu a suheto, a mairaman ti pisika, metapisika, daniw, teatro, musika, lohika, retoriko, lingguistika, politika, gobierno, etika, biolohia, ken soolohia. A kinaduana ni Plato ken ni Socrates, ni Aristoteles ket maysa kadagiti nangruna a nangipatakder a pigura iti Lumaud a pilosopia. Dagiti sinursurat ni Aristotles ket isu dagiti immuna a nagpartuat ti konprehensibo a sistema iti Akinlaud a pilosopia, a sumakop kadagiti moralidad, estetika, lohika, siensia, politika, ken metapisika. <END>"
Walt Disney,"<START> Ni Walter Elias 'Walt' Disney ket maysa idi nga Amerikano a produser ti pelikula, direktor, mannurat ti senario, aktor ti timek, animador, komersiante, agpalpaliwa, internasional nga ikono, aken pilantropo, a nadateg a naamaamon para kadagiti impluensiana iti matgedan ti panagpalpaliwa idi las-ud ti maika-20 a siglo. A nairaman ti kasatna a lalaki a ni Roy O. Disney, isu ket kimmadduaan a nangbangon ti Walt Disney Productions, a daytoy ket dimtengan a nagbalinan ti kalatakan a naamammoan a produser kadagiti pelikula iti lubong. Ti korporasion ket naamammoan akas ti The Walt Disney Company ken adda dagiti tinawen a matgedan iti agarup a US$36 bilion idi 2010 a tawen ti pinansia. <END>"
Meryl Streep,"<START> Ni Mary Louise 'Meryl' Streep ket Amerikana nga aktres. Ti namitlo a beses a nangabak iti Gunguna ti Akademia, isu ket naulit-uliten a tinawtawagan iti 'kalaingan nga aktres iti henerasionna'. Immuna a nagparang iti entablado ni Streep iti The Playboy of Seville idi 1971, ken nakaawat ti nominasion iti Premio Tony idi 1976 para iti Kalaingan a Nailadawan nga Aktres iti Drama para iti A Memory of Two Mondays/27 Wagons Full of Cotton. Isu ket immuna a nagparang iti iskrin iti pelikula ti telebision idi 1977 iti The Deadliest Season, ken immuna a nagparang iti pelikula iti isu met laeng a tawen iti Julia. Idi 1978, nangabak isuna iti Premio Emmy para iti papelna iti miniserye iti Holocaust, ken nakaawat iti immuna a nominasionna iti Gunguna ti Akademia para iti The Deer Hunter. Nainominado para kadagiti 19 Gunguna ti Akademia, ni Streep ket ad-adu iti nominasion ngem iti sinoman nga aktor wenno aktres iti pakasaritaan, nangabak iti Kalaingan a Mangsuporta nga Aktres para iti Kramer vs. Kramer (1979), ken Kalaingan nga Aktres para iti Sophie's Choice (1982) ken para iti The Iron Lady (2011). <END>"
Arkimedes,"<START> Ni Arkimedes ti Siracusa ket maysa idi a Griego a matematiko, pisiko, inhenniero, imbentor, ken astronomo. Uranyno bassit laeng dagiti salaysay a naamammoan para iti biagna, isu ket naipanpanunotan a kas maysa kadagiti mangidaulo a sientista iti klasiko a kinaugma. Kadagiti mairamraman a panagpasayaatna ti pisika ket dagiti kammasapulan ti hidroestatiko, estatika ken ti maysa panagipalpalawag ti pamunganayan ti pamatuangan. Isu ket naipammadayawan pay ti panagdibuho a panagpabaro kadagiti makina, a mairaman dagiti sillong a motor ken ti tornilio a bomba a naipanagan kaniana. Dagiti moderno nga eksperimento ket nagsubok kadagiti panagitunton a ni Arkimedes ket nagdaremdem kadagiti makina a makabagkat kadagiti agraraut a bapor manipud iti danum ken mangpuor kadagiti bapor nga inususar dagiti adu a sarming. <END>"
Thomas Edison,"<START> Ni Thomas Alva Edison ket maysa idi nga Amerikano nga imbentor ken negosiante. Isu ket nagiparang-ay kadagiti adu a ramramit a nalatak a nakaimpluensia iti biag ti lawlaw ti lubong, a mairaman ti ponograpo, ti kamera ti pelikula, ken ti maysa a napaut a, praktikal nga elektriko a bumbilia a silaw. Isu ket nanaganan ti 'Ti Baglan ti Parke ti Menlo' babaen dagiti reporter ti warnakan, isu ket maysa kadagiti immuna nga imbentor a nangipakat kadagiti pamunganayan ti masa a produksion ken ti dakkel a gatad ti timpuyogan aginggana ti pamay-an ti panagparnuay, ken gapu ti daytoy, isu ket kankanayon a naipammadayawan ti panakapartuat ti immuna nga industrial a pagsukimatan a laboratorio. <END>"
Euklides,"<START> Ni Euklides, fl. 300 BC, ammo pay a kas ni Euklides ti Alehandria, ket maysa idi a Griego a matematiko, a sapasap a naibagbaga a kas ti 'Ama ti Heometria'. Isu ket aktibo idi idiay Alehandria idi las-ud ti panagturay ni Ptolemy I. Ti bukodna a El-elemento ket maysa kadagiti kaimpluensian nga obra iti pakasaritaan ti matematika, a nagserserbi a kas ti kangrunaan alibro para iti panagisuro ti matematika manipud idi naipablaak aginggana ti naladaw a maika-19 a siglo wenno nasapa amaika-20 a siglo. Iti El-elemento, ni Euklides ket nakaabot ti panakaipatingga kadagiti pamunganayan a maibagbaga tattan a ti Euklidiana a heometria manipud kadagiti bassit a disso dagiti aksioma. Ni Euklides ket nagsursurat pay kadagiti obra ti perspektibo, dagiti koniko a paset, nagbukel a heometria, teoria ti numero ken kinainget. <END>"
Michael Faraday,"<START> Ni Michael Faraday, FRS ket maysa idi nga Ingles a sientista a nagparawad kadagiti pagobraan ti elektromagnetismo ken elektrokomika. Dagiti nangruna a naduktalanna ket mairaman dagiti elektromagnetiko nga induksion, diamagnetismo ken elektrolisis. <END>"
Enrico Fermi,"<START> Ni Enrico Fermi ket maysa idi nga Italiano a pisiko, a naisangsangayn a naam-ammuan para iti obrana ti panagrang-ay ti immuna nuklear a reaktor, Chicago Pile-1, ken para kadagiti inparawdna ti panagrang-ay ti kuantum a teoria, nuklear ken pisika ti partikula, ken estadistiko a mekanika. Isu ket nagunggunaan ti 1938 a Premio Nobel iti Pisika para iti obrana ti naidurogan a radioaktibidad, ken nagbalin a naturalisado nga Amerikano nga umili idi 1944. <END>"
Fibonacci,"<START> Ni Leonardo Pisano Bigollo naam-ammuan pay a kas ni Leonardo ti Pisa, Leonardo Pisano, Leonardo Bonacci, Leonardo Fibonacci, wenno, sapasap a kas ni Fibonacci, ket maysa idi nga Italiano a matematiko, a naipanpanunotan kadagiti kaaduan a 'ti kalaingan a matematiko ti laud ti Tengnga a Panpanawen.' <END>"
Henry Ford,"<START> NI Henry Ford ket maysa idi nga Amerikano nga industrialista, ti nangbangon ti Ford Motor a Kompania, ken ti nangipatakder ti panagrang-ay ti assemblia a linia a wagas ti masa aproduksion. Nupay a ni Ford ket saan nga isu ti nagimbento ti automobil, isu ket nagparang-ay ken nangipakturado ti immuna a karro a makabaelan a gatangen kadagiti adu a tengnga a klase nga Amerikano. Ti panangipaammona ti Modelo T nga automobil ket nangrebolusionario ti panaglugan ken industria ti Amerikano. A kas ti agtagtagikua ti Ford Motor a Kompania, isu ket nagbalin a maysa kadagiti kabaknangan ken kadayegan a tao iti lubong. Isu ket naipammadayawan ti 'Fordismo': ti masa aproduksion ti saan a nangina a magatgatang ken naikapet kadagiti nangato a matgedan dsagiti agobobra. Ni Ford ket adda ti sanganlubongan a panagsirmata, a ti konsumerismo a kas ti pangruna ti kappia. Ti napeksa a panagitalekna ti sistematiko a panangibabab ti bayad a nagbanagan kadagiti adu a teknikal ken negosio a panagpabaro, a mairaman ti maysa a prankisia a sistema a nangikabil kadagiti aglaklako ti karro iti amin anga Amianana nga Amerika ken dagiti kangrunaan a siudad kadagiti innem a kontinente. Ni Ford ket inbatina ti adu a kinabaknangna idiay Pundasion Ford ngem nangiyurnos para iti pamilian a permanente a mangtengngel ti kompania. <END>"
Joseph Fourier,<START> Ni Jean Baptiste Joseph Fourier ket maysa idi a Pranses a matematiko ken pisiko a kalatakan a naamammoan para iti panangrugi ti panagsukisok ti Fourier a serye ken dagiti panakaipakatda aginggan akadagiti parikut ti panangiyakar ti pudot ken dagiti panagpigerger. Ti Fourier a panagbalbaliw ken ti Linteg ni Fourier ket nainaganan a kas pammadayaw kaniana. Ni Fourier ket sapasap paya naipammadayawan para iti pannakaduktal ti epekto ti inbernadero. <END>
Galen,"<START> Ni Aelius Galenus wenno Claudius Galenus, nadaydayeg nga ammo a kas ni Galen ti Pergamon, ket maysa idi a prominente a Romano mangngagas, sirhano ken pilosopo. Nga isu ti lkalaingan kadagiti amin a mediko a managsuksukisok ti kinaugma, ni Galen ket adu a nangiparawad ti pannakaawat kadagiti nadumaduma a sientipiko a disiplina, a mairaman ti anatomia, pisiolohia, patolohia, parmakolohia, ken neurolohia, ken ti pay pilosopia ken lohika. <END>"
Charlie Chaplin,"<START> Ni Charles Spencer 'Charlie' Chaplin, KBE ket mays aidi nga Ingles a komoko nga aktor, direktor ti pelikula ken komposer a nalatak a namammoan para kadagiti obrana idi panawen ti maulimek a pelikula. Isu ti nagbalin a kalatakan anga artista ti pelikula iti sangalubongan sakbay ti panakalpas ti Umuna a Sangalubongan a Gubat. Ni Chaplin ket nagusar ti panagitultulad, bulbullagaw ken dagiti dadduma pay nga inararamid a makitkita a komedia, ken nalaing nagtultuloy aginggina idi panawen ti panagsasao, ngem bimmassit ti kaadu dagiti pelikulana manipud idi gibus ti panawen ti 1920. Ti kadayegan a papelna ket isu idi ti Ti Baliudung, nga immuna nga inay-ayamna idiay Keystone a komedia a Dagiti Lumba ti Karro ti Ubbing idiay Benisia idi 1914. Manipud idi Abril 1914 ti maysa a pagpulipunan Duapulo a Minutos iti Ayat ken dagiti sumakbay isu ket nagsursurat ken nagiturturong kadagiti pelikulanaon, manipud idi 1916 isu ket nagpadpataud pay kadagitoy, kenmanipud idi 1918 isu ket nagisursurat pay kadagiti musika para kadagitoy. A kumaduaanna ni Mary Pickford, Douglas Fairbanks ken D. W. Griffith, isu ket kimmaddua a nagipatakder ti Nagkaykaysa nga Ar-artista idi 1919. <END>"
Satyajit Ray,"<START> Ni Satyajit Ray ket maysa idi nga Indiano nga agparpartuat ti pelikula. Isu ket naipanpanunotan a kas maysa kadagiti kalatakan nga apo iti lubong ti sinema. Malaksid ti panagparpartuat ti pelikula, ni Ray ket nagsursurat pay kadagiti sarita ken nagiparang-ay ti kabukbukodanna nga estilo ti panagsurat. Isu ket ammo pay para kadagiti obrana iti kaligrapo ken panangipaskil. Ni Ray ket naipasngay idi idiay siudad ti Calcutta iti maysa a pamiulia ti Bengali a nadayeg kadagiti lubong ti arte ken literatura. Isu ket nangrugrugi ti karrerna a kas maysa nga artista ti panagipaskil, ni Ray ket naaw-awis iti panagaramid iti nawaya a pelikula kalpasan ti pannakammona iti Pranses nga agparpartuat iti pelikula a ni Jean Renoir ket ti panakabuyana ti pelikula Dagiti Mannanakaw ti Bisikleta ni Vittorio De Sica ti Italiano a neorealista idi nagbisita idiay Londres. <END>"
Steven Spielberg,"<START> Ni Steven Allan Spielberg KBE ket maysa a Hudio nga Amerikano a premiado iti Oscar a direktor ti pelikula ken agipupuonan. Mabigbig isuna kadagiti naglabas a tawen gapu iti panangipabus-oyna iti siribna a mangtaming kadagiti emosional ken nakain-inaka nga isyu, kas iti kinadagem ti Holocaust iti Listaan ni Schindler, panagtagabo iti Amistad, ken ti kinarigat ti gubat iti Panangispal ken ni Privado Ryan. Maysa a naynay a tema kadagiti obrana a pangfamilia ket ti kasla inuubing, kasla inosente, a nakem ti kinadatdatlag ken pammati, kas pasingkedan dagiti obra a kas iti Dagiti Asideg a Pannakinaig iti Maikatlo a Kita, E.T. ti Extra a Terestrial, Hook ken A.I.. <END>"
Bob Arum,"<START> Ni Bob Arum ket maysa nga agitaltal-o iti boksing manipud idiay Siudad ti New York, Estados Unidos. <END>"
J. R. R. Tolkien,"<START> Ni John Ronald Reuel Tolkien ket maysa a mannurat ken nobelista nga Ingles, nalatak nga autor ti Ti Hobbit ken ti nagsasaganad a serye a Ti Amo Dagiti Singsing. Maysa pay ni Tolkien a propesor ti lingguista, literatura iti Ingles ken Daan nga Ingles iti Leeds (1920–1925) ken iti Oxford (1925–1959). Debosionado isuna a Katoliko ken gayyem ni mannurat a C. S. Lewis. Kamengda ken Lewis iti Inklings, maysa a grupo dagiti mannurat nga agisalsalaysay iti literatura. <END>"
Marion Cotillard,"<START> Ni Marion Cotillard ket Pranses nga aktres, mannurat ti kanta, enbironmentalista ken ngiwat para iti Greenpeace. Isu ket nakagun-od iti pannakabigbig iti sangalubongan ken dagiti gunguna para kadagiti panangiladawanna kadagiti pelikula a kas ti A Very Long Engagement (2004), La Vie en Rose (2007), Nine (2009), Inception (2010), Midnight in Paris (2011), Rust and Bone (2012), The Immigrant (2013), Two Days, One Night (2014) ken ti Macbeth (2015). <END>"
