Title,First Paragraph
Walt Disney,"Walter Elias Disney was an American animator, film producer, and entrepreneur. A pioneer of the American animation industry, he introduced several developments in the production of cartoons. As a film producer, he holds the record for most Academy Awards earned and nominations by an individual. He was presented with two Golden Globe Special Achievement Awards and an Emmy Award, among other honors. Several of his films are included in the National Film Registry by the Library of Congress and have also been named as some of the greatest films ever by the American Film Institute."
Meryl Streep,"Mary Louise ""Meryl"" Streep is an American actress. Known for her versatility and accent adaptability, she has been described as ""the best actress of her generation"". She has received numerous accolades throughout her career spanning over four decades, including a record 21 Academy Award nominations, winning three, and a record 33 Golden Globe Award nominations, winning eight."
Archimedes,"Archimedes of Syracuse was an Ancient Greek mathematician, physicist, engineer, astronomer, and inventor from the ancient city of Syracuse in Sicily. Although few details of his life are known, he is regarded as one of the leading scientists in classical antiquity. Considered the greatest mathematician of ancient history, and one of the greatest of all time, Archimedes anticipated modern calculus and analysis by applying the concept of the infinitely small and the method of exhaustion to derive and rigorously prove a range of geometrical theorems. These include the area of a circle, the surface area and volume of a sphere, the area of an ellipse, the area under a parabola, the volume of a segment of a paraboloid of revolution, the volume of a segment of a hyperboloid of revolution, and the area of a spiral."
Thomas Edison,"Thomas Alva Edison was an American inventor and businessman. He developed many devices in fields such as electric power generation, mass communication, sound recording, and motion pictures. These inventions, which include the phonograph, the motion picture camera, and early versions of the electric light bulb, have had a widespread impact on the modern industrialized world. He was one of the first inventors to apply the principles of organized science and teamwork to the process of invention, working with many researchers and employees. He established the first industrial research laboratory."
Euclid,"Euclid was an ancient Greek mathematician active as a geometer and logician. Considered the ""father of geometry"", he is chiefly known for the Elements treatise, which established the foundations of geometry that largely dominated the field until the early 19th century. His system, now referred to as Euclidean geometry, involved new innovations in combination with a synthesis of theories from earlier Greek mathematicians, including Eudoxus of Cnidus, Hippocrates of Chios, and Theaetetus. With Archimedes and Apollonius of Perga, Euclid is generally considered among the greatest mathematicians of antiquity, and one of the most influential in the history of mathematics."
Michael Faraday,"Michael Faraday was an English scientist who contributed to the study of electromagnetism and electrochemistry. His main discoveries include the principles underlying electromagnetic induction, diamagnetism and electrolysis. Although Faraday received little formal education, as a self-made man, he was one of the most influential scientists in history. It was by his research on the magnetic field around a conductor carrying a direct current that Faraday established the concept of the electromagnetic field in physics. Faraday also established that magnetism could affect rays of light and that there was an underlying relationship between the two phenomena. He similarly discovered the principles of electromagnetic induction, diamagnetism, and the laws of electrolysis. His inventions of electromagnetic rotary devices formed the foundation of electric motor technology, and it was largely due to his efforts that electricity became practical for use in technology."
Enrico Fermi,"Enrico Fermi was an Italian and later naturalized American physicist, renowned for being the creator of the world's first nuclear reactor, the Chicago Pile-1, and a member of the Manhattan Project. He has been called the ""architect of the nuclear age"" and the ""architect of the atomic bomb"". He was one of very few physicists to excel in both theoretical physics and experimental physics. Fermi was awarded the 1938 Nobel Prize in Physics for his work on induced radioactivity by neutron bombardment and for the discovery of transuranium elements. With his colleagues, Fermi filed several patents related to the use of nuclear power, all of which were taken over by the US government. He made significant contributions to the development of statistical mechanics, quantum theory, and nuclear and particle physics."
Fibonacci,"Fibonacci, also known as Leonardo Bonacci, Leonardo of Pisa, or Leonardo Bigollo Pisano, was an Italian mathematician from the Republic of Pisa, considered to be ""the most talented Western mathematician of the Middle Ages""."
Henry Ford,"Henry Ford was an American industrialist and business magnate. As founder of the Ford Motor Company, he is credited as a pioneer in making automobiles affordable for middle-class Americans through the Fordism system. In 1911, he was awarded a patent for the transmission mechanism that would be used in the Model T and other automobiles."
Joseph Fourier,"Jean-Baptiste Joseph Fourier was a French mathematician and physicist born in Auxerre and best known for initiating the investigation of Fourier series, which eventually developed into Fourier analysis and harmonic analysis, and their applications to problems of heat transfer and vibrations. The Fourier transform and Fourier's law of conduction are also named in his honour. Fourier is also generally credited with the discovery of the greenhouse effect."
Galen,"Aelius Galenus or Claudius Galenus, often anglicized as Galen or Galen of Pergamon, was a Roman and Greek physician, surgeon, and philosopher. Considered to be one of the most accomplished of all medical researchers of antiquity, Galen influenced the development of various scientific disciplines, including anatomy, physiology, pathology, pharmacology, and neurology, as well as philosophy and logic."
Charlie Chaplin,"Sir Charles Spencer Chaplin was an English comic actor, filmmaker, and composer who rose to fame in the era of silent film. He became a worldwide icon through his screen persona, the Tramp, and is considered one of the film industry's most important figures. His career spanned more than 75 years, from childhood in the Victorian era until a year before his death in 1977, and encompassed both adulation and controversy."
Satyajit Ray,"Satyajit Ray was an Indian director, screenwriter, documentary filmmaker, author, essayist, lyricist, magazine editor, illustrator, calligrapher, and composer. Ray is widely considered one of the greatest and most influential film directors in the history of cinema. He is celebrated for works including The Apu Trilogy (1955–1959), The Music Room (1958), The Big City (1963) and Charulata (1964) and the Goopy–Bagha trilogy."
Steven Spielberg,"Steven Allan Spielberg, is an American film director, producer and screenwriter. A major figure of the New Hollywood era and pioneer of the modern blockbuster, he is the most commercially successful director in history. He is the recipient of many accolades, including three Academy Awards, two BAFTA Awards, and four Directors Guild of America Awards, as well as the AFI Life Achievement Award in 1995, the Kennedy Center Honor in 2006, the Cecil B. DeMille Award in 2009 and the Presidential Medal of Freedom in 2015. Seven of his films have been inducted into the National Film Registry by the Library of Congress as ""culturally, historically or aesthetically significant""."
Bob Arum,"Robert Arum is an American lawyer and boxing promoter. He is the founder and CEO of Top Rank, a professional boxing promotion company based in Las Vegas. Prior to becoming a boxing promoter, Arum was employed as an attorney in the tax division of the United States District Court for the Southern District of New York."
J. R. R. Tolkien,John Ronald Reuel Tolkien was an English writer and philologist. He was the author of the high fantasy works The Hobbit and The Lord of the Rings.
Marion Cotillard,"Marion Cotillard is a French actress. She has appeared in independent films and blockbusters in both European and Hollywood productions and her accolades include an Academy Award, a British Academy Film Award, a Golden Globe Award, a European Film Award, a Lumières Award and two César Awards. She became a Knight of the Order of Arts and Letters in France in 2010, and was promoted to Officer in 2016, the same year she was named a Knight of the Legion of Honour. She has served as a spokeswoman for Greenpeace since 2001. She was the face of the Lady Dior handbag for nine years, and since 2020 she is the face of the fragrance Chanel No. 5."
Johannes Gutenberg,"Johannes Gensfleisch zur Laden zum Gutenberg was a German inventor and craftsman who introduced letterpress printing to Europe with his movable-type printing press. Though movable type was already in use in East Asia, Gutenberg invented the printing press, which later spread across the world. His work led to an information revolution and the unprecedented mass-spread of literature throughout Europe. It had a profound impact on the development of the Renaissance, Reformation, and humanist movements."
James Prescott Joule,"James Prescott Joule was an English physicist, mathematician and brewer, born in Salford, Lancashire. Joule studied the nature of heat, and discovered its relationship to mechanical work. This led to the law of conservation of energy, which in turn led to the development of the first law of thermodynamics. The SI derived unit of energy, the joule, is named after him."
Johannes Kepler,"Johannes Kepler was a German astronomer, mathematician, astrologer, natural philosopher and writer on music. He is a key figure in the 17th-century Scientific Revolution, best known for his laws of planetary motion, and his books Astronomia nova, Harmonice Mundi, and Epitome Astronomiae Copernicanae, influencing among others Isaac Newton, providing one of the foundations for his theory of universal gravitation. The variety and impact of his work made Kepler one of the founders and fathers of modern astronomy, the scientific method, natural and modern science. He has been described as the ""father of science fiction"" for his novel Somnium."
Mo Yan,"Guan Moye, better known by the pen name Mo Yan, is a Chinese novelist and short story writer. Donald Morrison of U.S. news magazine TIME referred to him as ""one of the most famous, oft-banned and widely pirated of all Chinese writers"", and Jim Leach called him the Chinese answer to Franz Kafka or Joseph Heller. In 2012, Mo was awarded the Nobel Prize in Literature for his work as a writer ""who with hallucinatory realism merges folk tales, history and the contemporary""."
Max Planck,Max Karl Ernst Ludwig Planck was a German theoretical physicist whose discovery of energy quanta won him the Nobel Prize in Physics in 1918.
Nikola Tesla,"Nikola Tesla was a Serbian-American inventor, electrical engineer, mechanical engineer, and futurist. He is known for his contributions to the design of the modern alternating current (AC) electricity supply system."
James Watt,"James Watt was a Scottish inventor, mechanical engineer, and chemist who improved on Thomas Newcomen's 1712 Newcomen steam engine with his Watt steam engine in 1776, which was fundamental to the changes brought by the Industrial Revolution in both his native country Great Britain, and the rest of the world."
Chanakya,"Chanakya was an ancient Indian polymath who was active as a teacher, author, strategist, philosopher, economist, jurist, and politician. He is traditionally identified as Kauṭilya or Viṣṇugupta, who authored the ancient Indian political treatise, the Arthashastra, a text dated to roughly between the fourth century BCE and the third century CE. As such, he is considered the pioneer of the field of political science and economics in India, and his work is thought of as an important precursor to classical economics. His works were lost near the end of the Gupta Empire in the sixth century CE and not rediscovered until the early 20th century.
Around 321 BCE, Chanakya assisted the first Mauryan emperor Chandragupta in his rise to power and is widely credited for having played an important role in the establishment of the Maurya Empire. Chanakya served as the chief advisor to both emperors Chandragupta and his son Bindusara."
Gottfried Wilhelm Leibniz,"Gottfried Wilhelm Leibniz was a German polymath active as a mathematician, philosopher, scientist and diplomat who invented calculus in addition to many other branches of mathematics and statistics. Leibniz has been called the ""last universal genius"" due to his knowledge and skills in different fields and because such people became less common during the Industrial Revolution and spread of specialized labor after his lifetime. He is a prominent figure in both the history of philosophy and the history of mathematics. He wrote works on philosophy, theology, ethics, politics, law, history, philology, games, music, and other studies. Leibniz also made major contributions to physics and technology, and anticipated notions that surfaced much later in probability theory, biology, medicine, geology, psychology, linguistics and computer science. In addition, he contributed to the field of library science by devising a cataloguing system whilst working at the Herzog August Library in Wolfenbüttel, Germany, that would have served as a guide for many of Europe's largest libraries. Leibniz's contributions to a wide range of subjects were scattered in various learned journals, in tens of thousands of letters and in unpublished manuscripts. He wrote in several languages, primarily in Latin, French and German."
Noam Chomsky,"Avram Noam Chomsky is an American professor and public intellectual known for his work in linguistics, political activism, and social criticism. Sometimes called ""the father of modern linguistics"", Chomsky is also a major figure in analytic philosophy and one of the founders of the field of cognitive science. He is a laureate professor of linguistics at the University of Arizona and an institute professor emeritus at the Massachusetts Institute of Technology (MIT). Among the most cited living authors, Chomsky has written more than 150 books on topics such as linguistics, war, and politics. Ideologically, he aligns with anarcho-syndicalism and libertarian socialism."
Franz Kafka,"Franz Kafka was a German-speaking Bohemian Jewish novelist and writer from Prague. He is widely regarded as one of the major figures of 20th-century literature. His work fuses elements of realism and the fantastic. It typically features isolated protagonists facing bizarre or surrealistic predicaments and incomprehensible socio-bureaucratic powers. It has been interpreted as exploring themes of alienation, existential anxiety, guilt, and absurdity. His best known works include the novella The Metamorphosis and novels The Trial and The Castle. The term Kafkaesque has entered English to describe absurd situations like those depicted in his writing."
Karl Marx,"Karl Marx was a German-born philosopher, economist, political theorist, historian, sociologist, journalist, and revolutionary socialist. His best-known works are the 1848 pamphlet The Communist Manifesto and the three-volume Das Kapital (1867–1894); the latter employs his critical approach of historical materialism in an analysis of capitalism and is the culmination of his intellectual efforts. Marx's ideas and theories and their subsequent development, collectively known as Marxism, have exerted enormous influence on modern intellectual, economic and political history."
Voltaire,"François-Marie Arouet, known by his nom de plume M. de Voltaire, was a French Enlightenment writer, philosopher (philosophe), satirist, and historian. Famous for his wit and his criticism of Christianity and of slavery, Voltaire was an advocate of freedom of speech, freedom of religion, and separation of church and state."
Jorge Luis Borges,"Jorge Francisco Isidoro Luis Borges Acevedo was an Argentine short-story writer, essayist, poet and translator regarded as a key figure in Spanish-language and international literature. His best-known works, Ficciones (transl. Fictions) and El Aleph, published in the 1940s, are collections of short stories exploring motifs such as dreams, labyrinths, chance, infinity, archives, mirrors, fictional writers and mythology. Borges's works have contributed to philosophical literature and the fantasy genre, and have had a major influence on the magic realist movement in 20th century Latin American literature."
James Clerk Maxwell,"James Clerk Maxwell  was a Scottish physicist with broad interests who was responsible for the classical theory of electromagnetic radiation, which was the first theory to describe electricity, magnetism and light as different manifestations of the same phenomenon. Maxwell's equations for electromagnetism have been called the ""second great unification in physics"" where the first one had been realised by Isaac Newton."
Abraham Lincoln,"Abraham Lincoln was an American lawyer, politician, and statesman, who served as the 16th president of the United States, from 1861 until his assassination in 1865. Lincoln led the United States through the American Civil War, defending the nation as a constitutional union, defeating the insurgent Confederacy, playing a major role in the abolition of slavery, expanding the power of the federal government, and modernizing the U.S. economy."
Dmitri Mendeleev,"Dmitri Ivanovich Mendeleev was a Russian chemist and inventor. He is best known for formulating the Periodic Law and creating a version of the periodic table of elements. He used the Periodic Law not only to correct the then-accepted properties of some known elements, such as the valence and atomic weight of uranium, but also to predict the properties of three elements that were yet to be discovered."
Ernest Rutherford,"Ernest Rutherford, 1st Baron Rutherford of Nelson, was a New Zealand physicist who was a pioneering researcher in both atomic and nuclear physics. Rutherford has been described as ""the father of nuclear physics"", and ""the greatest experimentalist since Michael Faraday"". In 1908, he was awarded the Nobel Prize in Chemistry ""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances."" He was the first Oceanian Nobel laureate, and the first to perform the awarded work in Canada."
Socrates,"Socrates was a Greek philosopher from Athens who is credited as the founder of Western philosophy and among the first moral philosophers of the ethical tradition of thought. An enigmatic figure, Socrates authored no texts and is known mainly through the posthumous accounts of classical writers, particularly his students Plato and Xenophon. These accounts are written as dialogues, in which Socrates and his interlocutors examine a subject in the style of question and answer; they gave rise to the Socratic dialogue literary genre. Contradictory accounts of Socrates make a reconstruction of his philosophy nearly impossible, a situation known as the Socratic problem. Socrates was a polarizing figure in Athenian society. In 399 BC, he was accused of impiety and corrupting the youth. After a trial that lasted a day, he was sentenced to death. He spent his last day in prison, refusing offers to help him escape."
Erwin Schrödinger,"Erwin Rudolf Josef Alexander Schrödinger, sometimes written as Schroedinger or Schrodinger, was a Nobel Prize–winning Austrian and naturalized Irish physicist who developed fundamental results in quantum theory. In particular, he is recognized for postulating the Schrödinger equation, an equation that provides a way to calculate the wave function of a system and how it changes dynamically in time. He coined the term ""quantum entanglement"", and was the earliest to discuss it, doing so in 1932."
Abraham,"Abraham is the common Hebrew patriarch of the Abrahamic religions, including Judaism, Christianity, and Islam. In Judaism, he is the founding father of the special relationship between the Jews and God; in Christianity, he is the spiritual progenitor of all believers, whether Jewish or non-Jewish; and in Islam, he is a link in the chain of Islamic prophets that begins with Adam and culminates in Muhammad."
Pancho Villa (boxer),"Francisco Villaruel Guilledo, more commonly known as Pancho Villa, was a Filipino professional boxer. Villa, who stood only 5 feet and 1 inch (154 cm) tall and never weighed more than 114 pounds (51 kg), despite the racial discrimination of that time, rose from obscurity to become the first Asian to win the World Flyweight Championship in 1923, earning the reputation in some quarters as one of the greatest Flyweight boxers in history. He was never knocked out in his entire boxing career, which ended with his sudden death at only twenty-three from complications following a tooth extraction."
René Descartes,"René Descartes was a French philosopher, scientist, and mathematician, widely considered a seminal figure in the emergence of modern philosophy and science. Mathematics was paramount to his method of inquiry, and he connected the previously separate fields of geometry and algebra into analytic geometry. Descartes spent much of his working life in the Dutch Republic, initially serving the Dutch States Army, later becoming a central intellectual of the Dutch Golden Age. Although he served a Protestant state and was later counted as a deist by critics, Descartes was Roman Catholic."
Paul the Apostle,"Paul, commonly known as Paul the Apostle and Saint Paul, was a Christian apostle who spread the teachings of Jesus in the first-century world. For his contributions towards the New Testament, he is generally regarded as one of the most important figures of the Apostolic Age, and he also founded several Christian communities in Asia Minor and Europe from the mid-40s to the mid-50s AD."
C. S. Lewis,"Clive Staples Lewis was a British writer, literary scholar, and Anglican lay theologian. He held academic positions in English literature at both Magdalen College, Oxford (1925–1954), and Magdalene College, Cambridge (1954–1963). He is best known as the author of The Chronicles of Narnia, but he is also noted for his other works of fiction, such as The Screwtape Letters and The Space Trilogy, and for his non-fiction Christian apologetics, including Mere Christianity, Miracles, and The Problem of Pain."
Sigmund Freud,"Sigmund Freud was an Austrian neurologist and the founder of psychoanalysis, a clinical method for evaluating and treating pathologies seen as originating from conflicts in the psyche, through dialogue between patient and psychoanalyst, and the distinctive theory of mind and human agency derived from it."
Georg Wilhelm Friedrich Hegel,"Georg Wilhelm Friedrich Hegel was a German philosopher and one of the most influential figures of German idealism and 19th-century philosophy. His influence extends across the entire range of contemporary philosophical topics, from metaphysical issues in epistemology and ontology, to political philosophy, the philosophy of history, philosophy of art, philosophy of religion, and the history of philosophy."
Roald Amundsen,Roald Engelbregt Gravning Amundsen was a Norwegian explorer of polar regions. He was a key figure of the period known as the Heroic Age of Antarctic Exploration.
Ibn Khaldun,"Ibn Khaldun was an Arab sociologist, philosopher, and historian widely acknowledged to be one of the greatest social scientists of the Middle Ages, and considered by many to be the father of historiography, sociology, economics, and demography studies."
Immanuel Kant,"Immanuel Kant was a German philosopher and one of the central Enlightenment thinkers. Born in Königsberg, Kant's comprehensive and systematic works in epistemology, metaphysics, ethics, and aesthetics have made him one of the most influential and controversial figures in modern Western philosophy, being called the ""father of modern ethics"", ""father of modern aesthetics"" and, by bringing together rationalism and empiricism, the ""father of modern philosophy""."
Pär Lagerkvist,Pär Fabian Lagerkvist was a Swedish author who received the 1951 Nobel Prize in Literature.
Eugene O'Neill,"Eugene Gladstone O'Neill was an American playwright. His poetically titled plays were among the first to introduce into the U.S. the drama techniques of realism, earlier associated with Russian playwright Anton Chekhov, Norwegian playwright Henrik Ibsen, and Swedish playwright August Strindberg. The tragedy Long Day's Journey into Night is often included on lists of the finest U.S. plays in the 20th century, alongside Tennessee Williams's A Streetcar Named Desire and Arthur Miller's Death of a Salesman. He was awarded the 1936 Nobel Prize in Literature. O'Neill is also the only playwright to win four Pulitzer Prizes for Drama."
John Maynard Keynes,"John Maynard Keynes, 1st Baron Keynes was an English economist and philosopher whose ideas fundamentally changed the theory and practice of macroeconomics and the economic policies of governments. Originally trained in mathematics, he built on and greatly refined earlier work on the causes of business cycles. One of the most influential economists of the 20th century, he produced writings that are the basis for the school of thought known as Keynesian economics, and its various offshoots. His ideas, reformulated as New Keynesianism, are fundamental to mainstream macroeconomics. He is known as the ""father of macroeconomics""."
Hilary Swank,"Hilary Ann Swank is an American actress and film producer. Swank first became known in 1992 for her role on the television series Camp Wilder and made her film debut with a minor role in Buffy the Vampire Slayer (1992). She then had her breakthrough for starring as Julie Pierce in The Next Karate Kid (1994), the fourth installment of The Karate Kid franchise, and as Carly Reynolds on the eighth season of Beverly Hills, 90210 (1997–1998)."
Seamus Heaney,"Seamus Justin Heaney was an Irish poet, playwright and translator. He received the 1995 Nobel Prize in Literature. Among his best-known works is Death of a Naturalist (1966), his first major published volume. American poet Robert Lowell described him as ""the most important Irish poet since Yeats"", and many others, including the academic John Sutherland, have said that he was ""the greatest poet of our age"". Robert Pinsky has stated that ""with his wonderful gift of eye and ear Heaney has the gift of the story-teller."" Upon his death in 2013, The Independent described him as ""probably the best-known poet in the world""."
Isaac Newton,"Sir Isaac Newton was an English polymath active as a mathematician, physicist, astronomer, alchemist, theologian, and author who was described in his time as a natural philosopher. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His pioneering book Philosophiæ Naturalis Principia Mathematica, first published in 1687, consolidated many previous results and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with German mathematician Gottfried Wilhelm Leibniz for developing infinitesimal calculus, though he developed calculus years before Leibniz. He is considered one of the greatest and most influential scientists in history."
John Locke,"John Locke was an English philosopher and physician, widely regarded as one of the most influential of Enlightenment thinkers and commonly known as the ""father of liberalism"". Considered one of the first of the British empiricists, following the tradition of Francis Bacon, Locke is equally important to social contract theory. His work greatly affected the development of epistemology and political philosophy. His writings influenced Voltaire and Jean-Jacques Rousseau, and many Scottish Enlightenment thinkers, as well as the American Revolutionaries. His contributions to classical republicanism and liberal theory are reflected in the United States Declaration of Independence. Internationally, Locke's political-legal principles continue to have a profound influence on the theory and practice of limited representative government and the protection of basic rights and freedoms under the rule of law."
Friedrich Nietzsche,"Friedrich Wilhelm Nietzsche was a German philosopher. He began his career as a classical philologist before turning to philosophy. He became the youngest person to hold the Chair of Classical Philology at the University of Basel in 1869 at the age of 24, but resigned in 1879 due to health problems that plagued him most of his life; he completed much of his core writing in the following decade. In 1889, at age 44, he suffered a collapse and afterward a complete loss of his mental faculties, with paralysis and probably vascular dementia. He lived his remaining years in the care of his mother until her death in 1897 and then with his sister Elisabeth Förster-Nietzsche. Nietzsche died in 1900, after experiencing pneumonia and multiple strokes."
Dickey Betts,"Forrest Richard Betts is an American guitarist, singer, songwriter, and composer best known as a founding member of the Allman Brothers Band."
Jean-Paul Sartre,"Jean-Paul Charles Aymard Sartre was a French philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic, considered a leading figure in 20th-century French philosophy and Marxism. Sartre was one of the key figures in the philosophy of existentialism. His work has influenced sociology, critical theory, post-colonial theory, and literary studies. He was awarded the 1964 Nobel Prize in Literature despite attempting to refuse it, saying that he always declined official honors and that ""a writer should not allow himself to be turned into an institution."""
Albert Einstein,"Albert Einstein was a German-born theoretical physicist who is widely held to be one of the greatest and most influential scientists of all time. Best known for developing the theory of relativity, Einstein also made important contributions to quantum mechanics, and was thus a central figure in the revolutionary reshaping of the scientific understanding of nature that modern physics accomplished in the first decades of the twentieth century. His mass–energy equivalence formula E = mc2, which arises from relativity theory, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"", a pivotal step in the development of quantum theory. His work is also known for its influence on the philosophy of science. In a 1999 poll of 130 leading physicists worldwide by the British journal Physics World, Einstein was ranked the greatest physicist of all time. His intellectual achievements and originality have made the word Einstein broadly synonymous with genius."
Sima Qian,"Sima Qian was a Chinese historian of the early Han dynasty. He is considered the father of Chinese historiography for his Records of the Grand Historian, a general history of China covering more than two thousand years beginning from the rise of the legendary Yellow Emperor and the formation of the first Chinese polity to the reigning sovereign of Sima Qian's time, Emperor Wu of Han. As the first universal history of the world as it was known to the ancient Chinese, the Records of the Grand Historian served as a model for official history-writing for subsequent Chinese dynasties and the Chinese cultural sphere up until the 20th century."
Adam Smith,"Adam Smith was a Scottish economist and philosopher who was a pioneer in the thinking of political economy and key figure during the Scottish Enlightenment. Seen by some as ""The Father of Economics"" or ""The Father of Capitalism"", he wrote two classic works, The Theory of Moral Sentiments (1759) and An Inquiry into the Nature and Causes of the Wealth of Nations (1776). The latter, often abbreviated as The Wealth of Nations, is considered his magnum opus and the first modern work that treats economics as a comprehensive system and as an academic discipline. Smith refuses to explain the distribution of wealth and power in terms of God's will and instead appeals to natural, political, social, economic, legal, environmental and technological factors and the interactions among them. Among other economic theories, the work introduced Smith's idea of absolute advantage."
Max Weber,"Maximilian Karl Emil Weber was a German sociologist, historian, jurist, and political economist who was one of the central figures in the development of sociology and the social sciences more generally. His ideas continue to influence social theory and research."
Ludwig Wittgenstein,"Ludwig Josef Johann Wittgenstein was an Austrian philosopher who worked primarily in logic, the philosophy of mathematics, the philosophy of mind, and the philosophy of language."
Gary Cooper,"Gary Cooper was an American actor known for his strong, quiet screen persona and understated acting style. He won the Academy Award for Best Actor twice and had a further three nominations, as well as an Academy Honorary Award in 1961 for his career achievements. He was one of the top-10 film personalities for 23 consecutive years and one of the top money-making stars for 18 years. The American Film Institute (AFI) ranked Cooper at number 11 on its list of the 25 greatest male stars of classic Hollywood cinema."
Zhu Xi,"Zhu Xi, formerly romanized Chu Hsi, was a Chinese calligrapher, historian, philosopher, poet, and politician during the Song dynasty. Zhu was influential in the development of Neo-Confucianism. He contributed greatly to Chinese philosophy and fundamentally reshaped the Chinese worldview. His works include his editing of and commentaries to the Four Books, his writings on the process of the ""investigation of things"", and his development of meditation as a method for self-cultivation."
Barbara Stanwyck,"Barbara Stanwyck was an American actress, model and dancer. A stage, film, and television star, during her 60-year professional career she was known for her strong, realistic screen presence and versatility. She was a favorite of directors, including Cecil B. DeMille, Fritz Lang, and Frank Capra, and made 85 films in 38 years before turning to television."
James Cagney,"James Francis Cagney Jr. was an American actor and dancer. On stage and in film, he was known for his consistently energetic performances, distinctive vocal style, and deadpan comic timing. He won acclaim and major awards for a wide variety of performances."
Jack Lemmon,"John Uhler Lemmon III was an American actor. Considered proficient in both dramatic and comic roles, Lemmon was known for his anxious, middle-class everyman screen persona in dramedy pictures, leading The Guardian to label him as ""the most successful tragi-comedian of his age."""
Thomas Aquinas,"Thomas Aquinas was an Italian Dominican friar and priest, an influential philosopher and theologian, and a jurist in the tradition of scholasticism from the county of Aquino in the Kingdom of Sicily."
The Buddha,"Siddhartha Gautama, most commonly referred to as the Buddha, was a wandering ascetic and religious teacher who lived in South Asia during the 6th or 5th century BCE and founded Buddhism. According to Buddhist legends, he was born in Lumbini, in what is now Nepal, to royal parents of the Shakya clan, but renounced his home life to live as a wandering ascetic. Buddists believe that after leading a life of mendicancy, asceticism, and meditation, he attained nirvana at Bodh Gaya in what is now India. The Buddha then wandered through the lower Indo-Gangetic Plain, teaching and building a monastic order. Buddhist tradition holds he died in Kushinagar and reached parinirvana, final extinction."
Carlo Blasis,"Carlo Blasis was an Italian dancer, choreographer and dance theoretician born in Naples. He is well known for his very rigorous dance classes, sometimes lasting four hours long. He danced in France, Italy, London and Russia. Blasis insisted that his students learn theories and definitions of dance steps. He trained all of Enrico Cecchetti's teachers and it is thought that Blasis's influence in his training is what led Cecchetti to create the Cecchetti method of ballet."
Muhammad,"Muhammad was an Arab religious, social, and political leader and the founder of Islam. According to Islamic doctrine, he was a prophet divinely inspired to preach and confirm the monotheistic teachings of Adam, Abraham, Moses, Jesus, and other prophets. He is believed to be the Seal of the Prophets within Islam, with the Quran as well as his teachings and practices forming the basis for Islamic religious belief."
Blake Shelton,"Blake Tollison Shelton is an American country music singer and television personality. In 2001, he made his debut with the single ""Austin"" from his first album, Blake Shelton. ""Austin"" spent five weeks at number one on the Billboard Hot Country Songs chart. The now Platinum-certified debut album also produced two more top 20 entries."
William Holden,William Franklin Holden was an American actor and one of the biggest box-office draws of the 1950s. Holden won the Academy Award for Best Actor for the film Stalag 17 (1953) and the Primetime Emmy Award for Outstanding Lead Actor in a Limited or Anthology Series or Movie for the television miniseries The Blue Knight (1973).
Norma Shearer,"Edith Norma Shearer was a Canadian-American actress who was active on film from 1919 through 1942. Shearer often played spunky, sexually liberated women. She appeared in adaptations of Noël Coward, Eugene O'Neill, and William Shakespeare, and was the first five-time Academy Award acting nominee, winning Best Actress for The Divorcee (1930)."
Shirley MacLaine,"Shirley MacLaine is an American actress and author. Known for her portrayals of quirky, strong-willed, and eccentric women, she has received numerous accolades over her eight-decade career, including an Academy Award, an Emmy Award, two BAFTA Awards, six Golden Globe Awards, two Volpi Cups, and two Silver Bears. She has been honored with the Film Society of Lincoln Center Tribute in 1995, the Cecil B. DeMille Award in 1998, the AFI Life Achievement Award in 2012, and the Kennedy Center Honor in 2013."
Jane Wyman,"Jane Wyman was an American actress. She received an Academy Award (1948), four Golden Globe Awards and nominations for two Primetime Emmy Awards."
Olivia de Havilland,"Dame Olivia Mary de Havilland was a British and American actress. The major works of her cinematic career spanned from 1935 to 1988. She appeared in 49 feature films and was one of the leading actresses of her time. At the time of her death in 2020 at age 104, she was the oldest living and earliest surviving Academy Award winner and was widely considered as being the last surviving major star from the Golden Age of Hollywood cinema. Her younger sister was Oscar-winning actress Joan Fontaine."
Joan Fontaine,"Joan de Beauvoir de Havilland, known professionally as Joan Fontaine, was an English-American actress who is best known for her starring roles in Hollywood films during the Golden Age of Hollywood. Fontaine appeared in more than 45 films in a career that spanned five decades. She was the younger sister of actress Olivia de Havilland. Their rivalry was well-documented in the media at the height of Fontaine's career."
Ginger Rogers,"Ginger Rogers was an American actress, dancer and singer during the Golden Age of Hollywood. She won an Academy Award for Best Actress for her starring role in Kitty Foyle (1940), and performed during the 1930s in RKO's musical films with Fred Astaire. Her career continued on stage, radio and television throughout much of the 20th century."
Manuel Arguilla,"Manuel Estabilla Arguilla was an Ilokano writer in English, patriot, and martyr."
Al-Ghazali,"Al-Ghazali, known in Medieval Europe by the Latinized Algazelus or Algazel, was a Persian Sunni Muslim polymath. He is known as one of the most prominent and influential jurisconsults, legal theoreticians, muftis, philosophers, theologians, logicians and mystics in Islamic history."
